TAHUN;AHH;GK;HLS;IPM;P0;P1;P2;PPK;RLS;UHH;PDRB
Jepara;74,04;407056;12,75;71,99;7,17;0,6;0,07;10343;7,68;75,84;30175170,54
Demak;73,59;432533;13,31;72,22;12,54;1,97;0,5;10128;7,71;75,40;26546066,41
Semarang;73,93;404455;12,97;74,1;7,51;0,96;0,16;11966;8,02;75,73;49046716,57
Temanggung;73,75;323705;12,14;69,57;9,96;0,86;0,11;9343;7,24;75,58;21557077,66
Kendal;72,58;396691;12,95;72,29;9,99;1,37;0,25;11425;7,45;74,43;42586191,23
Batang;72,84;309202;12,01;68,65;9,13;1,43;0,32;9431;6,87;74,69;21621362,81
Pekalongan;71,79;403662;12,41;69,63;10,19;1,42;0,29;10312;6,91;73,69;22803192,93
Pemalang;71,5;389209;11,95;66,32;16,02;2,86;0,68;8461;6,42;73,40;25820820,04
Tegal;69,68;390520;12,67;68,39;8,14;1,08;0,19;9612;6,98;71,60;35300027,84
Brebes;67,4;431897;12,04;66,11;17,03;3,01;0,67;10058;6,21;69,33;47074595,6
Kota Magelang;75,04;522099;14,14;78,99;7,58;1,12;0,24;12210;10,39;76,85;8713158,538
Kota Surakarta;75,45;487445;14,87;82,21;9,03;1,51;0,38;14761;10,69;77,22;47621820,53
Kota Salatiga;75,45;454154;15,41;83,14;4,94;0,53;0,08;15699;10,42;77,40;13271841,36
Kota Semarang;75,59;522691;15,52;83,05;4,34;0,68;0,16;15243;10,53;77,34;188757189,3
Kota Pekalongan;72,5;460789;12,84;74,98;7,17;1,28;0,3;12467;8,96;74,38;10818530,64
Kota Tegal;72,61;502031;13,05;75,07;7,8;1,38;0,36;12999;8,51;74,46;15224661,62
Kulon Progo;73,38;353807;14,26;74,46;18,01;3,22;0,86;10041;8,86;75,24;11654319,89
Bantul;71,96;405613;15,17;80,01;13,5;1,85;0,43;15517;9,55;73,86;26161312,58
Gunung Kidul;72,21;319851;12,97;69,98;17,07;2,68;0,63;9486;7,21;74,12;18972196,51
Sleman;72,94;411610;16,73;83,84;8,12;1,37;0,33;15926;10,91;74,81;45824033,15
Kota Yogyakarta;72,78;533423;17,43;86,61;7,27;1,19;0,28;18678;11,46;74,65;35757539,56
Pacitan;69,96;296271;12,64;68,39;14,54;2,68;0,71;8796;7,60;71,94;15785198,22
Ponorogo;70,8;326205;13,73;70,81;9,95;1,44;0,31;9670;7,54;72,77;20513377,29
Trenggalek;71,81;340915;12,35;69,74;11,62;1,48;0,31;9630;7,55;73,75;18314461,26
Tulungagung;72,16;362213;13,31;73;7,33;0,72;0,11;10705;8,33;74,08;38225985,76
Blitar;71,58;325675;12,46;70,58;9,33;1,35;0,3;10654;7,39;73,52;36023963,44
Kediri;70,64;324215;13,15;72,05;11,4;1,55;0,33;11000;8,02;72,61;40626769,97
Malang;70,58;338156;13,18;70,36;10,15;1,37;0,3;10028;7,42;72,55;102027831,6
Lumajang;68,06;318196;11,81;65,46;9,83;1,14;0,21;9088;6,40;70,10;32062005,43
Jember;67,11;365295;13,42;67,11;10,09;1,42;0,31;9294;6,48;69,15;76039982,77
Banyuwangi;68,61;373679;12,8;70,62;8,06;1,3;0,3;12140;7,16;70,65;81102879,31
Bondowoso;64,71;408352;13,28;66,43;14,17;2,16;0,5;10610;5,93;66,74;19935592,83
Situbondo;67,09;322527;13,15;67,38;12,22;1,91;0,47;9857;6,46;69,13;20041854,99
Probolinggo;65,17;441258;12,35;66,07;18,61;3,12;0,78;10859;6,11;67,20;33721074,7
Pasuruan;68,19;355299;12,41;68,6;9,26;1,15;0,23;10164;7,40;70,23;145592018,2
Sidoarjo;72,12;486421;14,93;80,29;5,59;0,96;0,26;14458;10,50;74,04;197240690,8
Mojokerto;70,57;406043;12,88;73,83;10,57;1,95;0,51;12779;8,51;72,53;81940857,92
Jombang;70,43;410116;13,27;72,97;9,94;1,73;0,4;11261;8,54;72,40;39870881,37
Nganjuk;69,54;428882;12,86;71,72;11,62;1,62;0,35;12130;7,64;71,54;26601161,82
Madiun;69,38;364638;13,16;71,73;11,46;1,63;0,35;11574;7,81;71,38;18917154,93
Magetan;70,61;354936;14,03;73,92;10,35;1,2;0,21;11776;8,24;72,59;18771762,65
Ngawi;70,33;342556;12,7;70,54;15,44;2,37;0,55;11418;7,06;72,30;20270971,9
Bojonegoro;69,57;362383;12,39;69,04;12,87;1,72;0,35;10121;7,33;71,56;70258513,15
Tuban;69,43;371465;12,21;68,4;15,91;2,27;0,48;10238;6,95;71,43;62323068,16
Lamongan;70,43;397980;13,48;72,58;13,85;2,71;0,78;11456;7,92;72,40;39169585,94
Gresik;70,69;492628;13,73;76,11;12,4;2,51;0,8;13246;9,30;72,66;134268558,4
Bangkalan;68,15;418908;11,6;64,11;20,56;4,25;1,29;8610;5,95;70,18;23290005,86
Sampang;65,99;374908;12,37;62,7;22,78;2,93;0,53;8739;4,85;68,03;19842573,38
Pamekasan;65,54;357074;13,64;66,26;14,6;1,89;0,37;8739;6,69;67,58;16793846,98
Sumenep;69,41;382491;13,2;66,43;20,18;4,33;1,3;8888;5,71;71,41;32750242,14
Kota Kediri;72,09;493438;15,26;78,23;7,69;0,96;0,17;12239;9,93;74,02;132406061,1
Kota Blitar;71,82;465868;14,32;78,57;7,78;0,98;0,22;13733;10,11;73,75;6708144,941
Kota Malang;71,31;554791;15,51;81,45;4,44;0,66;0,15;16593;10,18;73,27;72163188,51
Kota Probolinggo;68,25;524528;13,59;73,27;7,43;1,19;0,28;12180;8,70;70,29;11074503,33
Kota Pasuruan;69,52;441531;13,62;75,26;6,66;0,78;0,14;13281;9,12;71,52;8047228,392
Kota Mojokerto;71,36;482016;14;78,04;6,24;0,64;0,1;13499;10,25;73,32;6588057,714
Kota Madiun;70,85;497628;14,4;80,91;4,98;0,77;0,18;16018;11,14;72,81;13769291,38
Kota Surabaya;72,26;592137;14,8;82,23;5,02;0,87;0,24;17755;10,49;74,18;554509457,4
